Bone	BV/TV	BV	BS/BV	TB.N	BS	TV	TB.Sp	TB.Th	BV/TV	BV	TB.N	SMI	TV	Conn. D.	TB.Sp	TB.Th	H2	H3	H1	DA
DVF007	0.3411	1.2075	25.6652	4.3777	30.99	3.5395	0.1505	0.0779	0.3369	1.2111	4.9041	-0.1623	3.5942	60.6526	0.2103	0.0825	0.3521	0.2036	0.1943	1.812
DVF008	0.2229	0.5594	32.3663	3.6074	18.1072	2.5097	0.2154	0.0618	0.2201	0.5634	3.374	0.3333	2.5602	39.4504	0.3026	0.07	0.4316	0.2654	0.2213	1.9502
G10F023	0.1976	0.6614	29.4016	2.9048	19.4452	3.347	0.2762	0.068	0.1956	0.6664	2.9038	0.2743	3.4066	23.3373	0.3676	0.0736	0.4717	0.3299	0.2889	1.6324
G10F024	0.2656	1.6222	29.0162	3.853	47.0706	6.1084	0.1906	0.0689	0.262	1.6192	3.3924	-0.259	6.1793	41.024	0.2888	0.0738	0.3987	0.2384	0.2155	1.8506
GRF001	0.349	1.3869	24.1088	4.2076	33.4361	3.9733	0.1547	0.083	0.3442	1.3901	4.0484	-0.7296	4.0384	44.9431	0.2549	0.0828	0.3536	0.2124	0.2046	1.7278
GRF002	0.3411	1.207	26.7522	4.5627	32.2906	3.5385	0.1444	0.0748	0.3368	1.2104	4.7315	-0.3312	3.5943	56.0603	0.2138	0.0795	0.3461	0.1969	0.1835	1.8865
GRF003	0.2913	0.8454	30.8288	4.4901	26.0632	2.9023	0.1578	0.0649	0.2865	0.8457	4.29	-0.2236	2.9522	44.7131	0.2286	0.069	0.3598	0.1988	0.1861	1.9327
GRF004	0.2542	0.6478	23.9421	3.0431	15.5108	2.5485	0.2451	0.0835	0.2524	0.6567	5.0289	1.2154	2.6016	34.0177	0.2136	0.0986	0.4691	0.3026	0.28	1.6751
LAF007	0.3494	1.1385	24.0312	4.198	27.3603	3.2587	0.155	0.0832	0.3456	1.1444	4.6079	-0.3266	3.3118	55.5586	0.2296	0.0878	0.3774	0.2175	0.1964	1.9211
LAF008	0.3251	1.1125	23.4426	3.8104	26.0796	3.4222	0.1771	0.0853	0.3221	1.1189	3.8207	-0.1247	3.4735	33.6832	0.2719	0.0932	0.3913	0.2362	0.2243	1.7444
MAF003	0.2189	0.8807	39.1754	4.2883	34.5025	4.0228	0.1821	0.0511	0.2182	0.8957	4.9606	0.7692	4.1046	132.7793	0.2127	0.0592	0.3443	0.2104	0.1995	1.7257
MAF006	0.1773	0.6916	36.6104	3.2462	25.3208	3.9001	0.2534	0.0546	0.1755	0.698	3.4614	0.3639	3.9773	55.6908	0.302	0.0602	0.4721	0.2782	0.2597	1.8182
NOF007	0.2935	1.0543	26.3705	3.8705	27.8017	3.5915	0.1825	0.0758	0.2905	1.0581	4.8426	0.0395	3.6426	36.787	0.2146	0.0815	0.43	0.2334	0.2116	2.0321
NOF009	0.2111	0.7987	32.4947	3.4301	25.9534	3.7832	0.23	0.0615	0.2092	0.8049	3.4382	0.2336	3.847	51.7286	0.2977	0.0676	0.4539	0.269	0.2397	1.8932
TIF003	0.201	1.1642	34.657	3.483	40.3484	5.7923	0.2294	0.0577	0.1988	1.1659	3.912	0.4226	5.8644	48.5987	0.2639	0.0635	0.379	0.2646	0.2538	1.4934
TIF005	0.241	0.9122	30.8587	3.7183	28.1504	3.7854	0.2041	0.0648	0.2386	0.9166	4.9345	0.2958	3.8417	46.3337	0.2113	0.0707	0.3907	0.2552	0.2219	1.7605
WAF011	0.2142	0.7283	28.0195	3.0005	20.4072	3.4006	0.2619	0.0714	0.2128	0.7393	2.75	0.5501	3.4745	28.3497	0.3716	0.0787	0.4782	0.3202	0.2734	1.7487
WAF014	0.226	0.8545	28.8178	3.2562	24.624	3.7812	0.2377	0.0694	0.2248	0.8665	3.9628	0.9203	3.8548	29.7036	0.2691	0.0782	0.4429	0.2813	0.2617	1.6924
